Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1737248145,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1737248146,20,,Aggregated,0.000000,0.000000,8,10,16,38,56,64,69,76,76,76,76,95,0,8,17.913060006685555,4.431600100360811,76.05339994188398,56.50526315789474
1737248147,40,,Aggregated,0.000000,0.000000,9,12,15,18,45,54,59,66,76,76,76,291,0,9,15.607016155083386,3.5258999560028315,76.05339994188398,59.97938144329897
1737248148,80,,Aggregated,0.000000,0.000000,11,16,19,23,37,49,58,62,76,76,76,567,0,11,16.49755344034634,3.4375000977888703,76.05339994188398,60.783068783068785
1737248149,100,,Aggregated,55.500000,0.000000,17,30,37,44,60,76,86,90,100,100,100,910,0,17,26.133209451582733,3.4375000977888703,100.25689995381981,60.05164835164835
1737248150,100,,Aggregated,103.000000,0.000000,28,46,59,64,82,95,110,110,120,130,130,1283,0,28,37.0642837888829,3.4375000977888703,130.71719999425113,59.1153546375682
1737248151,100,,Aggregated,144.250000,0.000000,32,47,58,63,79,91,100,110,120,130,130,1686,0,32,38.37827431888144,3.4375000977888703,130.71719999425113,58.83689205219454
1737248152,100,,Aggregated,182.400000,0.000000,33,47,56,61,76,88,100,110,120,130,130,2101,0,33,38.63776749202087,3.4375000977888703,130.71719999425113,58.54831032841504
1737248153,100,,Aggregated,215.500000,0.000000,33,47,57,61,75,87,99,110,120,130,130,2503,0,33,38.72122449143274,3.4375000977888703,130.71719999425113,58.792249300838996
1737248155,100,,Aggregated,242.142857,0.000000,33,44,54,58,73,85,98,110,120,130,130,2933,0,33,37.85512809409226,3.4375000977888703,130.71719999425113,58.492669621547904
1737248156,100,,Aggregated,278.444444,0.000000,32,41,49,55,70,82,97,100,120,130,130,3362,0,32,37.01547650229197,3.4375000977888703,130.71719999425113,57.8227245687091
1737248157,100,,Aggregated,293.300000,0.000000,35,45,53,57,70,81,96,100,120,130,130,3740,0,34,38.709372887917034,3.4375000977888703,130.71719999425113,57.47807486631016
1737248158,100,,Aggregated,335.800000,0.000000,36,46,54,58,71,82,97,110,120,130,130,4146,0,36,39.50787223843513,3.4375000977888703,131.32949999999255,57.71080559575494
1737248159,100,,Aggregated,361.800000,0.000000,37,47,54,59,71,82,95,100,120,130,130,4537,0,37,40.26896865785545,3.4375000977888703,131.32949999999255,57.47520387921534
1737248160,100,,Aggregated,382.700000,0.000000,38,48,55,60,74,86,100,110,130,180,180,4904,0,38,41.726668739827545,3.4375000977888703,180.58339995332062,57.225122349102776
1737248161,100,,Aggregated,394.600000,0.000000,39,50,56,60,74,88,100,110,130,180,180,5305,0,39,42.6531574174035,3.4375000977888703,180.58339995332062,57.363807728557966
1737248162,100,,Aggregated,397.800000,0.000000,41,51,57,62,76,91,110,120,160,210,210,5664,0,41,44.191387588311,3.4375000977888703,210.74120001867414,57.49770480225989
1737248163,100,,Aggregated,398.600000,0.000000,42,53,59,63,79,93,110,130,170,210,210,6018,0,42,45.48320460295594,3.4375000977888703,210.74120001867414,57.67846460618146
1737248164,100,,Aggregated,393.600000,0.000000,43,55,61,68,88,120,170,230,310,330,330,6276,0,43,51.07463237737799,3.4375000977888703,327.724999981001,57.86089866156788
1737248165,100,,Aggregated,389.000000,0.000000,45,56,64,70,94,140,190,240,310,330,330,6610,0,45,53.72614889564528,3.4375000977888703,327.724999981001,57.87367624810893
1737248166,100,,Aggregated,373.600000,0.000000,46,58,66,74,98,140,190,240,310,330,330,6982,0,46,55.24624578926013,3.4375000977888703,327.724999981001,57.920939558865655
1737248167,100,,Aggregated,361.100000,0.000000,47,60,70,78,110,150,230,270,310,330,330,7248,0,47,58.65037683494865,3.4375000977888703,327.724999981001,57.858029801324506
1737248168,100,,Aggregated,352.500000,0.000000,48,61,73,82,130,190,240,270,310,330,330,7478,0,48,63.01316777214943,3.4375000977888703,329.81149991974235,57.96496389408933
1737248169,100,,Aggregated,344.200000,0.000000,50,64,78,89,150,210,260,290,350,370,370,7719,0,50,67.99144036786768,3.4375000977888703,372.857499984093,58.00181370643866
1737248170,100,,Aggregated,328.300000,0.000000,51,67,82,97,170,230,280,310,360,370,370,7962,0,51,72.41954198692562,3.4375000977888703,373.8047999795526,58.10185882943984
1737248171,100,,Aggregated,311.000000,0.000000,52,67,84,99,170,230,280,310,360,370,370,8284,0,52,73.20005420082697,3.4375000977888703,373.8047999795526,57.81192660550459
1737248172,100,,Aggregated,296.300000,0.000000,53,69,85,99,170,230,280,310,360,370,370,8656,0,53,73.44284777024068,3.4375000977888703,373.8047999795526,58.01305452865065
1737248173,100,,Aggregated,288.700000,0.000000,54,70,86,100,170,220,280,310,360,370,370,8989,0,54,73.84228715095222,3.4375000977888703,373.8047999795526,57.956724885971745
1737248174,100,,Aggregated,287.400000,0.000000,55,72,88,100,170,230,280,310,360,370,370,9247,0,55,75.23186376128082,3.4375000977888703,373.8047999795526,57.99826970909484
1737248175,100,,Aggregated,283.400000,0.000000,56,74,91,110,180,230,280,310,360,370,370,9549,0,56,77.54158479425529,3.4375000977888703,373.8047999795526,57.93517645826788
1737248176,100,,Aggregated,291.900000,0.000000,57,76,94,110,180,230,280,310,360,370,370,9865,0,57,78.57422824141612,3.4375000977888703,373.8047999795526,58.04683223517486
1737248177,100,,Aggregated,284.600000,0.000000,58,78,95,110,180,230,280,310,360,370,370,10192,0,58,78.96604140529132,3.4375000977888703,373.8047999795526,58.102727629513346
1737248178,100,,Aggregated,281.400000,0.000000,59,79,95,110,170,230,280,310,360,370,370,10546,0,59,78.99737368687211,3.4375000977888703,373.8047999795526,58.14564763891523
1737248179,100,,Aggregated,286.100000,0.000000,60,79,95,110,170,230,280,310,360,370,370,10877,0,60,79.1509017928857,3.4375000977888703,373.8047999795526,58.1496736232417
1737248180,100,,Aggregated,295.000000,0.000000,61,80,97,110,170,220,280,310,360,370,370,11154,0,61,80.31279682638502,3.4375000977888703,373.8047999795526,58.09709521247983
1737248181,100,,Aggregated,308.100000,0.000000,62,81,98,110,170,220,280,300,360,370,370,11497,0,62,80.78739801696574,3.4375000977888703,373.8047999795526,58.05853700965469
1737248182,100,,Aggregated,315.100000,0.000000,63,83,100,120,170,220,280,300,360,370,370,11793,0,63,81.89709110492392,3.4375000977888703,373.8047999795526,57.99118120919189
1737248183,100,,Aggregated,314.200000,0.000000,65,85,100,120,170,220,270,300,360,370,370,12117,0,65,82.60290520758953,3.4375000977888703,373.8047999795526,57.907237765123384
1737248184,100,,Aggregated,310.800000,0.000000,65,85,100,120,170,220,270,300,360,370,370,12443,0,65,82.70958075229315,3.4375000977888703,373.8047999795526,57.96962147392108
1737248185,100,,Aggregated,307.100000,0.000000,67,87,100,120,170,220,270,300,360,370,370,12766,0,67,83.21899731320534,3.4375000977888703,373.8047999795526,58.03336988876704
1737248186,100,,Aggregated,307.300000,0.000000,68,89,110,120,170,220,270,300,360,370,370,13054,0,68,84.56398853231681,3.4375000977888703,373.8047999795526,58.02803738317757
1737248187,100,,Aggregated,315.800000,0.000000,69,90,110,120,170,210,270,300,360,370,370,13362,0,69,85.05052807217774,3.4375000977888703,373.8047999795526,58.088085615925756
1737248188,100,,Aggregated,317.500000,0.000000,70,91,110,120,170,210,270,300,360,370,370,13668,0,70,85.46905485800013,3.4375000977888703,373.8047999795526,58.13827919227393
1737248189,100,,Aggregated,311.400000,0.000000,71,93,110,130,180,220,260,300,360,370,370,13910,0,71,87.28987200570305,3.4375000977888703,373.8047999795526,58.09453630481668
1737248190,100,,Aggregated,309.800000,0.000000,72,95,120,130,180,220,270,290,360,370,370,14204,0,72,88.63051397478684,3.4375000977888703,373.8047999795526,58.00239369191777
1737248191,100,,Aggregated,302.400000,0.000000,73,96,120,130,180,220,270,290,360,370,370,14522,0,73,89.07671831688502,3.4375000977888703,373.8047999795526,58.0061974934582
1737248192,100,,Aggregated,297.700000,0.000000,74,98,120,130,180,220,260,290,360,370,370,14806,0,74,90.16561427111786,3.4375000977888703,373.8047999795526,58.10063487775226
1737248193,100,,Aggregated,295.600000,0.000000,75,100,120,130,180,220,260,290,360,370,370,15108,0,75,90.75414444660673,3.4375000977888703,373.8047999795526,58.04044214985438
1737248194,100,,Aggregated,295.300000,0.000000,76,100,120,140,180,220,260,290,360,370,370,15363,0,76,91.59446963487534,3.4375000977888703,373.8047999795526,58.04048688407212
1737248195,100,,Aggregated,293.500000,0.000000,78,100,120,140,180,220,260,290,360,370,370,15627,0,78,92.72486613561725,3.4375000977888703,373.8047999795526,58.04748192231394
1737248196,100,,Aggregated,290.500000,0.000000,78,100,130,140,190,230,270,300,360,370,370,15835,0,78,94.73223178413672,3.4375000977888703,373.8047999795526,58.033975371013575
1737248197,100,,Aggregated,284.900000,0.000000,79,110,130,140,190,230,270,300,360,370,370,16085,0,79,96.00933636311427,3.4375000977888703,373.8047999795526,58.08330742928194
1737248199,100,,Aggregated,277.200000,0.000000,81,110,130,150,200,240,280,310,370,400,420,16316,0,81,98.15401002702427,3.4375000977888703,424.0675000473857,58.093834273106154
1737248200,100,,Aggregated,262.200000,0.000000,82,110,130,150,200,230,280,310,370,400,420,16589,0,82,99.09991279157096,3.4375000977888703,424.0675000473857,58.1058532762674
1737248201,100,,Aggregated,257.800000,0.000000,82,110,140,150,200,240,280,310,370,400,420,16809,0,82,100.08850597890167,3.4375000977888703,424.0675000473857,58.15337021833542
1737248202,100,,Aggregated,260.700000,0.000000,84,110,140,160,200,240,300,340,430,440,470,17039,0,84,102.40691720168584,3.4375000977888703,469.6292000589892,58.15564293679206
1737248203,100,,Aggregated,254.100000,0.000000,85,120,140,160,210,240,290,340,430,440,470,17282,0,85,103.73529589170826,3.4375000977888703,469.6292000589892,58.12718435366277
1737248204,100,,Aggregated,245.400000,0.000000,86,120,140,160,210,240,300,340,430,440,470,17500,0,86,104.89617354286436,3.4375000977888703,469.6292000589892,58.0872
1737248205,100,,Aggregated,242.300000,0.000000,87,120,150,160,210,250,300,350,430,440,470,17753,0,87,106.61549055368384,3.4375000977888703,469.6292000589892,58.08899904241537
1737248206,100,,Aggregated,233.800000,0.000000,88,120,150,170,210,250,300,350,430,440,470,18015,0,88,107.54291488755548,3.4375000977888703,469.6292000589892,58.03497085761865
1737248207,100,,Aggregated,231.700000,0.000000,90,120,150,170,220,250,300,350,430,440,470,18256,0,90,108.92938534717908,3.4375000977888703,469.6292000589892,58.02684049079755
1737248208,100,,Aggregated,232.800000,0.000000,90,130,150,170,220,260,320,360,430,450,470,18444,0,90,110.86014378649257,3.4375000977888703,469.6292000589892,58.02851875948818
1737248209,100,,Aggregated,235.300000,0.000000,92,130,160,170,220,260,320,360,430,450,470,18705,0,92,111.85712692314354,3.4375000977888703,469.6292000589892,58.00785886126704
1737248210,100,,Aggregated,229.900000,0.000000,93,130,160,180,220,260,320,360,430,450,470,18937,0,93,112.7615425515115,3.4375000977888703,469.6292000589892,58.01705655594867
1737248211,100,,Aggregated,231.500000,0.000000,94,130,160,180,230,270,330,360,430,450,470,19135,0,94,114.44806195443887,3.4375000977888703,469.6292000589892,58.066579566239874
1737248212,100,,Aggregated,229.800000,0.000000,95,130,160,180,230,280,340,370,430,450,470,19365,0,95,116.0302914741812,3.4375000977888703,469.6292000589892,58.069506842241154
1737248213,100,,Aggregated,227.300000,0.000000,96,140,160,180,230,280,340,370,430,450,470,19585,0,96,117.46439276476393,3.4375000977888703,469.6292000589892,58.06760275721215
1737248214,100,,Aggregated,225.800000,0.000000,97,140,160,190,230,280,340,370,430,450,470,19847,0,97,118.28299164602986,3.4375000977888703,469.6292000589892,58.05350934650073
1737248215,100,,Aggregated,222.000000,0.000000,99,140,160,180,230,280,340,370,430,440,470,20127,0,99,118.6274975107424,3.4375000977888703,469.6292000589892,58.14711581457743
1737248216,100,,Aggregated,225.400000,0.000000,100,140,170,190,230,280,340,370,430,440,470,20358,0,100.0,119.57917813138049,3.4375000977888703,469.6292000589892,58.10698496905393
1737248217,100,,Aggregated,228.600000,0.000000,100,140,170,190,230,280,340,370,430,440,470,20589,0,100.0,120.72425855551562,3.4375000977888703,469.6292000589892,58.06790033513041
